id	RsmmID	Titel	Serie	Länge	Sendezeit	Titel_Sprache	Beschreibung_Sprache	Block	MO	DI	MI	DO	FR	SA	SO	Bild
241	32169	UnserWahresSein	MED	00:27:30	21.07.2026 18:37:30	Meditación dada desde la consciencia divina: «Nuestro verdadero Ser», dada por Gabriele	Meditación dada desde la consciencia divina: «Nuestro verdadero Ser», dada por Gabriele		False	False	False	False	False	False	False	UnserWahresSein.jpg
247	36032	SchuleLeben 15	DWS	00:28:00	21.07.2026 19:10:00	¿Qué es libertad? ¿Con qué nos la hemos quitado? ¿Y cómo la podemos recuperar?	La verdadera escuela es la vida. Horas de enseñanza dadas desde la Sabiduría divina.		False	False	False	False	False	False	False	Lilienzeitalter.jpg
250	32444	BotschaftAusDemAll 01	LES-ZELT	00:36:30	21.07.2026 19:41:30	Una lectura desde el Arca de la Alianza del Espíritu Libre: Manifestación dada a través de Gabriele, en Junio 1980: El Reino Eterno "O a favor de Mí o en contra de Mí, Cristo, el Hijo de Dios y Corregente del Reino de Dios"	Una lectura desde el Arca de la Alianza del Espíritu Libre: Manifestación dada a través de Gabriele, en Junio 1980: El Reino Eterno "O a favor de Mí o en contra de Mí, Cristo, el Hijo de Dios y Corregente del Reino de Dios"		False	False	False	False	False	False	False	LES-Zelt.jpg
257	28558	InnereAndacht 04	MED	00:56:30	21.07.2026 20:30:30	Recogimiento Interno. Parte 4: Grabación original  de la serie: Las grandes enseñanzas cósmicas. Dada a través de Gabriele. 	Recogimiento Interno. Parte 4: Grabación original  de la serie: Las grandes enseñanzas cósmicas. Dada a través de Gabriele. 		False	False	False	False	False	False	False	InnereAndacht_ES_Neu.jpg
260	08210	Zuversicht 1	MED	00:11:00	21.07.2026 21:36:30	Meditación: Confianza (1) - Alcanzar una vida más elevada	Meditación: Confianza (1) - Alcanzar una vida más elevada		False	False	False	False	False	False	False	BabyMutterHände.jpg
262	09340	InnererArzt 1	MED	00:39:00	21.07.2026 21:49:00	El Médico y Sanador interno. Sanar en cuerpo y alma por la fuerza del Cristo de Dios. (1)	El Médico y Sanador interno. Sanar en cuerpo y alma por la fuerza del Cristo de Dios. (1)		False	False	False	False	False	False	False	Kristall.jpg
264	47972	GemeindeFels Juli2026	SON	01:20:00	21.07.2026 22:31:00	Reunión en el espíritu cristiano originario en la fuente de la Roca de Cristo, en julio de 2026, del año 3 de la Era mesiánica, sofiánica	Reunión en el espíritu cristiano originario en la fuente de la Roca de Cristo, en julio de 2026, del año 3 de la Era mesiánica, sofiánica		False	False	False	False	False	False	False	GemeindeFelsJul2.jpg
266	24589	DasIstMeinWort 27	LES	00:26:00	22.07.2026 00:01:00	Esta es Mi Palabra, Alfa y Omega. Capítulo 71 "La purificación del templo" y capítulo 72 "Palabras de despedida de Jesús"	Esta es Mi Palabra, Alfa y Omega. Capítulo 71 "La purificación del templo" y capítulo 72 "Palabras de despedida de Jesús"		False	False	False	False	False	False	False	DIMW_ES-00.jpg
269	41825	EwigeWortErde 03	SON	00:37:30	22.07.2026 00:31:00	La Palabra Eterna va por toda la Tierra 	La Palabra Eterna va por toda la Tierra 		False	False	False	False	False	False	False	ES_EwigeWort3.jpg
274	46885	FGE JugendOstern	FGE	00:28:00	22.07.2026 01:14:00	¡Colectividades libres internacionales de jóvenes de todo el mundo!	¡Colectividades libres internacionales de jóvenes de todo el mundo!		False	False	False	False	False	False	False	JugenOstern.jpg
279	47972	GemeindeFels Juli2026	SON	01:20:00	22.07.2026 01:46:30	Reunión en el espíritu cristiano originario en la fuente de la Roca de Cristo, en julio de 2026, del año 3 de la Era mesiánica, sofiánica	Reunión en el espíritu cristiano originario en la fuente de la Roca de Cristo, en julio de 2026, del año 3 de la Era mesiánica, sofiánica		False	False	False	False	False	False	False	GemeindeFelsJul2.jpg
283	40348	AllesWasLebt	MED	00:37:00	22.07.2026 03:15:00	Meditación: En nosotros llevamos todo lo que vive	Meditación: En nosotros llevamos todo lo que vive		False	False	False	False	False	False	False	MED_AllesWasLebt.JPG
288	43874	FGE Rückmeldungen 04	FGE	00:18:30	22.07.2026 03:56:30	Nosotros leemos, y tú, ¿nos escuchas? Sentir, vivir lo que otros dicen. Jóvenes en el camino hacia Cristo (04)	Nosotros leemos, y tú, ¿nos escuchas? Sentir, vivir lo que otros dicen. Jóvenes en el camino hacia Cristo (04)		False	False	False	False	False	False	False	ES_JugendRueckmeldung.jpg
291	28675	InnereAndacht 06	MED	00:53:30	22.07.2026 04:25:00	Recogimiento Interno. Parte 6: Grabación original de la serie «Las grandes enseñanzas cósmicas» 	Recogimiento Interno. Parte 6: Grabación original de la serie «Las grandes enseñanzas cósmicas» 		False	False	False	False	False	False	False	InnereAndacht_00.jpg
294	36979	Die neue Landwirtschaft	GR-SON	00:32:30	22.07.2026 05:25:00	La nueva agricultura bajo el signo messiánico, sofiánico de la Tierra de Isaías, en la obra de acción del amor a Dios y al prójimo	Coloquio sobre el tema: La nueva agricultura bajo el signo mesiánico, sofiánico de la Tierra de Isaías, en la obra de acción del amor a Dios y al prójimo, dada desde la plenitud de la Sabiduría Divina en febrero 2022		False	False	False	False	False	False	False	SchmetterlingUndGetreide_korr.jpg
299	35244	SchuleLeben 01	DWS	00:21:30	22.07.2026 06:06:30	Mantén la tranquilidad interna en cada situación	La verdadera escuela es la vida. Horas de enseñanza dadas desde la Sabiduría divina.		False	False	False	False	False	False	False	DWS-ES_01.jpg
302	07372	IhreGedanken 11 3Mi	GH	00:12:30	22.07.2026 06:29:30	Sus pensamientos son su día: La salvación se encuentra solo en nosotros 	Meditación con imágenes con impulsos para el día		False	False	False	False	False	False	False	ES_Woche.jpg
304	27556	Sternstunden 04	MED	00:39:30	22.07.2026 06:44:00	Horas estelares con Gabriele. Un hombre nuevo en la corriente del amor infinito	Horas estelares con Gabriele. Un hombre nuevo en la corriente del amor infinito		False	False	False	False	False	False	False	SternstundenMargaritte.jpg
310	24417	Medikurs2 08	MED	00:26:00	22.07.2026 07:30:00	Meditaciones cristiano-originarias. (Curso 2º, med. 8)	Meditaciones cristiano-originarias. (Curso 2º, med. 8): «Amor, calor y armonía fluyen hacia mí desde la consciencia de la Voluntad»		False	False	False	False	False	False	False	Organansprache.jpg
312	06544	Morgenmed. 3	MED	00:18:00	22.07.2026 07:59:00	Meditación matinal (17)	Meditación matinal (17)		False	False	False	False	False	False	False	ErlebeDieEinheit.jpg
314	42338	FGE VS Les 17 Liobani	FGE	00:06:30	22.07.2026 08:20:00	Somos las colectividades libres - Une y sé (17) 	Liobani		False	False	False	False	False	False	False	ES_FGE_VerbindeUndSei.jpg
317	32556	Klassik Seele 53a_13	KONZ1	00:12:30	22.07.2026 08:31:00	Música clásica para el alma. Los conciertos de la Santec Music Orchestra	Música clásica para el alma: Mauro Giuliani, op.30 I. Allegro maestoso		False	False	False	False	False	False	False	KlassikSeele.jpg
